id,date,bus_route_id,in_out,station_code,station_name,latitude,longitude,ride6,ride7,ride8,ride9,ride10,ride11,off6,off7,off8,off9,off10,off11,ride18,지번주소,si,city,dong,road_addr,weather_addr,temperature,precipitation,bus_interval,date_day,date_dayofweek,date_dayofname,weekday,weekend,holiday,typhoon,in_,out,ride67,ride89,ride1011,off67,off89,off1011,ride_sum,off_sum,bus_route_id_sum,bus_route_id_all_sum
1448,2019-09-01,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,23.3,26.1,45.0,1,6,Sunday,0.0,1.0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,1,35
13141,2019-09-02,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.1,25.7,45.0,2,0,Monday,1.0,0.0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1,35
28197,2019-09-03,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.8,13.9,45.0,3,1,Tuesday,1.0,0.0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1,35
43607,2019-09-04,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.7,43.0,45.0,4,2,Wednesday,1.0,0.0,0,0,1,0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1,35
58403,2019-09-05,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,26.2,7.0,45.0,5,3,Thursday,1.0,0.0,0,0,1,0,1.0,0.0,0.0,1.0,2.0,4.0,1.0,7.0,1,35
74080,2019-09-06,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,26.8,68.8,45.0,6,4,Friday,0.0,1.0,0,1,1,0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,1,35
88914,2019-09-07,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,27.6,34.3,45.0,7,5,Saturday,0.0,1.0,0,1,1,0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1,35
99393,2019-09-08,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.5,19.0,45.0,8,6,Sunday,0.0,1.0,0,0,1,0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,1,35
111271,2019-09-09,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,26.2,24.7,45.0,9,0,Monday,1.0,0.0,0,0,1,0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,1,35
126621,2019-09-10,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,27.0,0.0,45.0,10,1,Tuesday,1.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,6.0,1,35
142550,2019-09-11,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,26.0,5.0,45.0,11,2,Wednesday,1.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1,35
157673,2019-09-12,22560000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.1,0.6,45.0,12,3,Thursday,1.0,0.0,1,0,1,0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2,35
157728,2019-09-12,22570000,시내,999,용흥리,33.452059999999996,126.36886000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,제주특별자치도 제주시 애월읍 신엄리 1951-1,제주시,애월읍,신엄리,신용로,제주,24.1,0.6,51.0,12,3,Thursday,1.0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2,35
